"AMPHIBIA, REPTILIA",CRUSTACEA,INVERTEBRATA AQUATICA,MAMMALIA,MOLLUSCA,PISCES,PLANTAE AQUATICAE,Albacore,Alewife,Amer. plaice(=Long rough dab),American angler,American cupped oyster,American eel,American gizzard shad,American lobster,American sea scallop,American shad,American yellow perch,Atlantic Spanish mackerel,Atlantic bay scallop,Atlantic bluefin tuna,Atlantic cod,Atlantic croaker,Atlantic halibut,Atlantic herring,Atlantic mackerel,Atlantic menhaden,Atlantic rock crab,Atlantic searobins,Atlantic surf clam,Black drum,Black seabass,Black stone crab,Blue crab,Blue mussel,Blue runner,Bluefish,Buffalofishes nei,Californian anchovy,Caribbean spiny lobster,Catfishes nei,Chinook(=Spring=King) salmon,Chum(=Keta=Dog) salmon,"Clams, etc. nei",Coho(=Silver) salmon,Common carp,Dungeness crab,Euro-American crayfishes nei,Finfishes nei,Flatfishes nei,Freshwater fishes nei,Great Northern tilefish,"Grunts, sweetlips nei",Gulf menhaden,Haddock,King mackerel,Lake cisco,Lake trout(=Char),Lake(=Common) whitefish,Lingcod,Marine fishes nei,Mullets nei,Natantian decapods nei,Northern brown shrimp,Northern pink shrimp,Northern quahog(=Hard clam),Northern red snapper,Northern white shrimp,Ocean quahog,Opalescent inshore squid,Pacific bluefin tuna,Pacific cod,Pacific halibut,Pacific herring,Pacific jack mackerel,Pacific ocean perch,Periwinkles nei,Pink(=Humpback) salmon,"Porgies, seabreams nei",Rainbow smelt,Rainbow trout,Rays and skates nei,Red hake,River and lake turtles nei,Sablefish,Saithe(=Pollock),Sand gaper,Sand weakfish,"Scorpionfishes, redfishes nei","Sharks, rays, skates, etc. nei",Sheepshead,Silver hake,Skipjack tuna,"Snappers, jobfishes nei",Sockeye(=Red) salmon,Spot croaker,Spotted weakfish,Squeteague(=Gray weakfish),Striped bass,Summer flounder,Swordfish,Tropical spiny lobsters nei,Tusk(=Cusk),Various squids nei,Whelks,White hake,White perch,White weakfish,Whitefishes nei,Winter flounder,Witch flounder,Yellowfin tuna,Yellowtail flounder
316.6,9864.941176,88.32222222,3344.666667,18205.66667,7320.584314,50788.5,16423.5,10733.5,3082,37,139027.5,954,128,10522,75803,1260.5,2151,1435.5,2987,575,26077,2611,244,89147,10021,134041.5,1685,104,24935,283,2943,19,28593.5,607,361,1063,11735,2213,707,10692,8300,33800,1718,9150,15984,5400,487,47597,6222.5,12884,1089,38,197452,71922,371.5,9222,1328,1341,1630.5,173,5295.666667,221,48668,9392,67913,3242,27323,800,2720,626,3215,2825,423,60444,112,4,38900,255,856.5,478,73,1554,1373,1155,11634,16610,213,6029.5,24,197,30533,28755,206,41500,2375,1475.5,1811,1169,5124,212.5,423,1732,535.5,681,6380,1179,1034,4971,12513,3189,42613,10938
304,9932.888889,52.18888889,3387.555556,17669.92593,6530.910506,57999,7822.5,13085.5,5154,80,127869.5,828,140,11769,70830,1185.5,2135,1973,3341,799,22690,1926.5,197,30487,7141,141680,1056,196,33775,300.5,4244,30,25936,843,445,1059,11698,3155,1405,12416,9800,29600,1739.5,11800,16070,5409,484,26270,5717.25,12863,1032,111,227874,69901,712.5,9222,1328,1341,1511.5,314.5,5921.333333,236.5,57249,11048,67057,3260,32139,744,5617,1752,4340,3533,1244,40750,539,8,67000,576,845.5,562,184,2343,1369,1860.5,10304,15959,252,5752,132.3333333,139,54466,26444.5,284,30000,2964.5,1320,1438,925,5287,97.5,374,1779,1270,659,5551,1034,1004,4971,9318,2725,24468.33333,8360
93.2,9635.444444,54.77777778,3548.333333,17679.71429,6583.206226,55626,11920,10515,3467,38,142842.5,726,165,11354,70389,1379,2068,1843.5,3427.5,256,19816,1881.5,179,70383,8250,152126,680,95,40733,255,4989,45,23640.5,399,485,1100,11667,25303,731,14631,9250,35100,1599.5,10050,16109,5161.5,468,29475,6063.5,14608,964,69,323341,73255,532.5,10694,1290,1776,1311,467.5,5557,258,57900,11174,56182,4053,32504,1760,1665,2076,4919,4139.5,2317.5,66462,1561.5,8,36000,523,1262,757,95,2001,307,1098,12227,12971,260,5601,54.33333333,147,49187,12854.33333,244,35000,3365,1812.5,1381,816,6954,129,366,1678,312.3333333,725,5429,1042,2005,5466,8602,2617,27099.66667,7705
46.8,10755.33333,30.77777778,3549,16473.21429,7248.035573,53464.5,6123,11844.5,2590,24,137701.5,541,281,12465,66623,1157,3762,1207,2257.5,648,16703,6978.5,202,59056,1822,267364,657,85,37460,649,2594,120,23030,437,245,988,7867,19237,883,13123,8250,34600,886.5,7200,12480,5838,251,65503,5843.75,13272,1582,69,253518,70277,454.5,9470,1024,1303,1032.5,229.5,7711,242,68722,13262,43671,4075,38581,1376,3699,9537,7553,5588,269,7863,2617.5,16,40200,459,1397.5,772,54,1350,177,1526.5,9258,9075,692,5164,122.3333333,95,43207,69743,220,41600,1982,1247.5,1663.5,759.6666667,7362,83,409,959,548.6666667,862,3842,1376,961,5178,6181,4573,27083.5,5789
69.6,10052.77778,38.55555556,3637.222222,17655.07692,7364.206349,62282,6964.5,10703,2951,24,121333.5,623,1551,13133,83600,1114.75,3206,1142.5,2983,406,16140,10726,156,47938,1756,275715.5,728,26,38716,550,2576.5,127,22974,636,314,917.5,8336,20272,1041,13685,9700,14800,690,6500,16343,4524.5,509,70094,5785,14263,1629,117,295790,61252,589.5,7541,953,907,1335.5,277.5,7992,352,62300,12023,46397,4246,34973,1608,6474,6173,5883,5083,547.5,16218,1538,16,58100,426,1327,660,47,3486,323,1491.5,10505,9040,903,5136.5,90.66666667,210,53920,46193,310,26100,1970,1187.5,2106.5,750.6666667,7160,111,390,974,940,1184,3529,1111,783,5461,5982,3993,27943.5,6519
71.6,9682.111111,41.22222222,6954.666667,16773.96296,8067.393701,59156,9375.5,12137,2679,23,115478,652,1021,12030,75820,1220.25,5072,1783,2431,208,15934,12889,139,67087,1830,293186.5,792,138,51454,549.5,2651,124,22303.5,376,287,937.5,7918,25801,1412,15796,8650,27200,704,6750,14821,7198.5,252,83435,6177.75,13928,707,96,364929,69058,1650,7434,822,793,1156,410,8416,447,56660,10934,48034,4197,31807,1400,8838,5727,4454,5008.5,515,34365,2394.5,49,46300,380,1801.5,484,38,4746,303,2234.5,10443,10819,610,5887.5,167.6666667,177,42604,28059,181,42800,2814,1255.5,2008,682.3333333,8197,174,334,933,693.5,1199,2933,953,894,5533,7180,2401,22869.66667,6643
52.2,9952.777778,47.66666667,5216.944444,15665.13793,7135.589844,47425,10582.5,8700.666667,2201,15,109647,562,588,13678,79368,1386.25,5576,1846.5,4326,454,15454,4308,151,73302,1097,266694.5,621,217,57822,466,2178.5,109,25793.5,351,230,1094.5,6355,18392,1832,14140,6900,31200,920,6050,13545,9576,407,91994,5914.75,12154,252,151,233249,60588,1539,6728,540,757,1317,11458,9062,1005,50945,9832,47884,4268,28601,1408,5647,9215,5409,5034.5,518.5,37200,2129,37,32500,22,1695,423,52,1861,240,1672,9995,10113,86,6279.5,115,175,60347,20598.5,268,30600,2080.5,1339,1848.5,632,7598,269,294,893,913,1291,2606,889,684,5448,7165,2003,20851.33333,10185
66.6,9888.666667,52.22222222,4417.611111,14041.03448,7071.054054,57662.5,8719,11529.66667,1342,19,100098,618,433,12350,71705,1321,5107,2586,4243.5,1123,18762,5594,132,81198,2075,207999.5,749,245,46583,352.5,2641,144,25159,286,419,737.5,6956,5263,1340,14382,6250,30800,1142,5300,14570,9151.5,1002,76485,5510.5,9527,337,59,286667,54229,742.5,5590,481,352,1346.5,16444,9700,2274.5,50660,9776,45698,4752,28441,952,3383,6967,5794,4858.5,2428.5,10009,1495.5,57,54800,231,2202.5,423,42,2540,294,943.5,14921,11673,96,6632.5,77.33333333,181,50532,27980.5,304,30800,2233.5,1370.5,1494.5,924.3333333,8905,462,287,745,661,1014,2026,945,1293,6331,7481,1405,18802,15116
71.2,10712.57895,60,3265.777778,14071.29032,7725.749049,45271,10497,7733,1423,20,88826,594,158,13193,93121,1296.666667,5530,1637.5,2216.5,1278,21084,2685.5,136,55056,1835,273738.5,857,228,74827,446,1855.5,148,26420,379,330,867,7774,3254,1442,15366,6217.5,17479,1285,4582.5,14190,8379.5,518,77344,5473,8950,190,107,451676,51088,787,5698,394,507,1644,19571.5,6213.666667,4684,56754,10953,42822,4936,31862,344,8915,3746,6045,12182.5,26040.5,17100,1831.5,66,28005,40,1583.5,377,57,2214,290,1994.5,11134,12613,107,6330.5,96.33333333,201,52250,25151,154,24399,2109,1396,985,1240.333333,8936,446.5,230,1019,589,858,2372,1141,1553,5686,7674,1333,24762.5,13522
87.4,11492.7,97.33333333,2282.888889,15067.93103,7376.318008,60633.5,9117.5,8103.666667,1376,19,78863.5,392,114,14138,100501,970.6666667,4808,1790.5,3790,637,18317,1556,122,70397,1378,237414,722,108,80734,512.5,1592.5,189,35084.5,375,336,789.5,7618,2295,1292,15799,5456,22595,1428.5,3099,14295,8200.5,615,23789,6164.75,7796,532,80,440650,53841,853.5,5037,175,453,1798,21250,6174.666667,2816.5,61235,10743,47020,4940,35452,680,1162,6010,2437,11551,19010,34082,2080.5,62,23854,63,1003.5,438,61,4081,368,2568.5,10131,15175,84,6189,110,232,50622,24340,156,43240,2508.5,1311.5,910,1297.333333,6499,303,159,874,827.5,1136,2624,836,561,8241,9062,1420,86030,14155
