year_month,Series ID_x,CPI,Series ID_y,PPI
1935/01,CUUR0000SEFG,6.2,,
1935/02,CUUR0000SEFG,6.2,,
1935/03,CUUR0000SEFG,6.1,,
1935/04,CUUR0000SEFG,6.1,,
1935/05,CUUR0000SEFG,6.1,,
1935/06,CUUR0000SEFG,6.1,,
1935/07,CUUR0000SEFG,6.1,,
1935/08,CUUR0000SEFG,6.1,,
1935/09,CUUR0000SEFG,6.3,,
1935/10,CUUR0000SEFG,6.3,,
1935/11,CUUR0000SEFG,6.2,,
1935/12,CUUR0000SEFG,6.3,,
1936/01,CUUR0000SEFG,6.3,,
1936/02,CUUR0000SEFG,6.3,,
1936/03,CUUR0000SEFG,6.2,,
1936/04,CUUR0000SEFG,6.2,,
1936/05,CUUR0000SEFG,6.2,,
1936/06,CUUR0000SEFG,6.2,,
1936/07,CUUR0000SEFG,6.2,,
1936/08,CUUR0000SEFG,6.2,,
1936/09,CUUR0000SEFG,6.2,,
1936/10,CUUR0000SEFG,6.2,,
1936/11,CUUR0000SEFG,6.1,,
1936/12,CUUR0000SEFG,6.1,,
1937/01,CUUR0000SEFG,6.1,,
1937/02,CUUR0000SEFG,6.1,,
1937/03,CUUR0000SEFG,6.1,,
1937/04,CUUR0000SEFG,6.1,,
1937/05,CUUR0000SEFG,6.1,,
1937/06,CUUR0000SEFG,6.2,,
1937/07,CUUR0000SEFG,6.3,,
1937/08,CUUR0000SEFG,6.4,,
1937/09,CUUR0000SEFG,6.5,,
1937/10,CUUR0000SEFG,6.6,,
1937/11,CUUR0000SEFG,6.7,,
1937/12,CUUR0000SEFG,6.7,,
1938/01,CUUR0000SEFG,6.8,,
1938/02,CUUR0000SEFG,6.8,,
1938/03,CUUR0000SEFG,6.7,,
1938/04,CUUR0000SEFG,6.4,,
1938/05,CUUR0000SEFG,6.0,,
1938/06,CUUR0000SEFG,6.1,,
1938/07,CUUR0000SEFG,6.2,,
1938/08,CUUR0000SEFG,6.2,,
1938/09,CUUR0000SEFG,6.3,,
1938/10,CUUR0000SEFG,6.3,,
1938/11,CUUR0000SEFG,6.2,,
1938/12,CUUR0000SEFG,6.3,,
1939/01,CUUR0000SEFG,6.4,,
1939/02,CUUR0000SEFG,6.4,,
1939/03,CUUR0000SEFG,6.4,,
1939/04,CUUR0000SEFG,6.3,,
1939/05,CUUR0000SEFG,6.0,,
1939/06,CUUR0000SEFG,6.1,,
1939/07,CUUR0000SEFG,6.0,,
1939/08,CUUR0000SEFG,6.3,,
1939/09,CUUR0000SEFG,6.4,,
1939/10,CUUR0000SEFG,6.5,,
1939/11,CUUR0000SEFG,6.6,,
1939/12,CUUR0000SEFG,6.6,,
1940/01,CUUR0000SEFG,6.9,,
1940/02,CUUR0000SEFG,6.8,,
1940/03,CUUR0000SEFG,6.9,,
1940/04,CUUR0000SEFG,7.2,,
1940/05,CUUR0000SEFG,6.9,,
1940/06,CUUR0000SEFG,6.9,,
1940/07,CUUR0000SEFG,6.8,,
1940/08,CUUR0000SEFG,6.9,,
1940/09,CUUR0000SEFG,7.0,,
1940/10,CUUR0000SEFG,7.0,,
1940/11,CUUR0000SEFG,7.0,,
1940/12,CUUR0000SEFG,7.2,,
1941/01,CUUR0000SEFG,7.4,,
1941/02,CUUR0000SEFG,7.4,,
