PERIOD,"AMPHIBIA, REPTILIA",CRUSTACEA,INVERTEBRATA AQUATICA,MAMMALIA,MOLLUSCA,PISCES,PLANTAE AQUATICAE
1950,316.6,9864.941176470587,88.32222222222222,3344.6666666666665,18205.666666666668,7320.584313725491,50788.5
1951,304.0,9932.888888888889,52.18888888888889,3387.5555555555557,17669.925925925927,6530.910505836576,57999.0
1952,93.2,9635.444444444445,54.77777777777778,3548.3333333333335,17679.714285714286,6583.206225680934,55626.0
1953,67.6,10756.055555555555,36.333333333333336,3703.8333333333335,17846.60714285714,6743.885826771653,63586.5
1954,46.8,10755.333333333334,30.77777777777778,3549.0,16473.214285714286,7248.03557312253,53464.5
1955,69.6,10052.777777777777,38.55555555555556,3637.222222222222,17655.076923076922,7364.206349206349,62282.0
1956,71.6,9682.111111111111,41.22222222222222,6954.666666666667,16773.962962962964,8067.393700787402,59156.0
1957,52.2,9952.777777777777,47.666666666666664,5216.944444444444,15665.137931034482,7135.58984375,47425.0
1958,66.6,9888.666666666666,52.22222222222222,4417.611111111111,14041.034482758621,7071.054054054054,57662.5
1959,71.2,10712.578947368422,60.0,3265.777777777778,14071.290322580646,7725.749049429658,45271.0
1960,87.4,11492.7,97.33333333333333,2282.8888888888887,15067.931034482759,7376.318007662835,60633.5
1961,111.4,9493.952380952382,126.33333333333333,7060.5,14728.032258064517,7961.15444015444,66214.5
1962,86.8,9971.857142857143,88.22222222222223,5428.388888888889,13666.032258064517,8113.916349809886,64859.5
1963,68.2,11396.238095238095,100.44444444444444,4811.0,14449.333333333334,7102.8403041825095,56479.5
1964,86.4,11238.714285714286,109.33333333333333,3650.5,13438.78125,6546.407547169812,29420.75
1965,95.6,13483.809523809523,99.22222222222223,2933.6111111111113,14603.935483870968,6670.981343283582,31226.0
1966,71.8,14041.857142857143,95.66666666666667,2954.222222222222,14729.612903225807,5891.80223880597,27634.25
1967,79.6,14386.904761904761,89.11111111111111,3670.1666666666665,13398.787878787878,5409.943820224719,30446.5
1968,62.2,12952.952380952382,93.11111111111111,3286.777777777778,13450.90909090909,5873.232209737827,31437.25
1969,68.2,13526.57142857143,86.55555555555556,2171.722222222222,13279.787878787878,5970.9625468164795,30368.0
