Year,T_degC,Salnty,O2Sat,Oxy_umol_per_Kg,PO4uM,SiO3uM,CPI,AMPHIBIA_REPTILIA,CRUSTACEA,INVERTEBRATA_AQUATICA,MAMMALIA,MOLLUSCA,PISCES,PLANTAE_AQUATICAE,Atlantic_menhaden,Gulf_menhaden,Dungeness_crab,Pacific_halibut,Pacific_cod
1950,19.54,33.17,94.1,216.2122,0.377392308,2.961523494,19.36666667,316.6,9864.941176,88.32222222,3344.666667,18205.66667,7320.584314,50788.5,134041.5,197452,5400.0,2825.0,3215
1951,14.22,33.48101312,104.1400968,254.2615448,0.377392308,2.961523494,22.125,304.0,9932.888889,52.18888889,3387.555556,17669.92593,6530.910506,57999.0,141680.0,227874,5409.0,3533.0,4340
1952,19.33,33.49,104.1400968,254.2615448,0.377392308,2.961523494,21.54166667,93.2,9635.444444,54.77777778,3548.333333,17679.71429,6583.206226,55626.0,152126.0,323341,5161.5,4139.5,4919
1954,18.525,33.535,104.25,245.06085,0.377392308,2.961523494,20.84166667,46.8,10755.33333,30.77777778,3549.0,16473.21429,7248.035573,53464.5,267364.0,253518,5838.0,5588.0,7553
1955,17.74660839,33.76016667,101.7440781,234.1344745,0.488888889,2.961523494,20.4,69.6,10052.77778,38.55555556,3637.222222,17655.07692,7364.206349,62282.0,275715.5,295790,4524.5,5083.0,5883
1956,13.13888889,33.16888889,99.52222222,259.1166222,0.377392308,2.961523494,20.38333333,71.6,9682.111111,41.22222222,6954.666667,16773.96296,8067.393701,59156.0,293186.5,364929,7198.5,5008.5,4454
1957,20.50407895,34.21392105,102.7502632,231.7330721,0.377392308,2.961523494,20.675,52.2,9952.777778,47.66666667,5216.944444,15665.13793,7135.589844,47425.0,266694.5,233249,9576.0,5034.5,5409
1958,17.24776557,33.60559524,97.45558442,232.3392026,0.377392308,2.961523494,22.09166667,66.6,9888.666667,52.22222222,4417.611111,14041.03448,7071.054054,57662.5,207999.5,286667,9151.5,4858.5,5794
1959,17.86389361,33.66957971,98.83890395,234.1279399,0.353823529,1.666666667,22.5,71.2,10712.57895,60.0,3265.777778,14071.29032,7725.749049,45271.0,273738.5,451676,8379.5,12182.5,6045
1960,16.43793493,33.61758046,98.36841788,239.516856,0.377392308,2.961523494,22.5,87.4,11492.7,97.33333333,2282.888889,15067.93103,7376.318008,60633.5,237414.0,440650,8200.5,11551.0,2437
1961,16.64986001,33.48574288,99.03551657,240.5025955,0.462040816,2.4375,22.99166667,111.4,9493.952381,126.3333333,7060.5,14728.03226,7961.15444,66214.5,258943.5,532044,7416.0,12074.5,1391
1962,16.22677904,33.64009334,98.7631856,241.4618558,0.458536585,3.152173913,23.975,86.8,9971.857143,88.22222222,5428.388889,13666.03226,8113.91635,64859.5,279246.5,506527,5299.0,12192.0,1445
1963,19.45895825,33.87845986,105.1300201,241.246157,0.533880231,3.920547581,23.93333333,68.2,11396.2381,100.4444444,4811.0,14449.33333,7102.840304,56479.5,164860.5,493919,5639.0,10335.5,2889
1964,15.37312202,33.56244386,103.3664583,255.3147025,0.438118841,2.900925926,23.36666667,86.4,11238.71429,109.3333333,3650.5,13438.78125,6546.407547,29420.75,127737.5,456656,5226.0,7948.5,2909
1965,16.16301136,33.57805254,103.9282197,254.2725455,0.412083333,2.625,24.05833333,95.6,13483.80952,99.22222222,2933.611111,14603.93548,6670.981343,31226.0,137935.5,507077,6557.5,9184.5,4606
1966,16.81620119,33.47478875,105.9470891,255.8374006,0.377392308,2.961523494,25.625,71.8,14041.85714,95.66666667,2954.222222,14729.6129,5891.802239,27634.25,86307.5,420558,9008.5,9145.5,4528
1967,17.40357143,33.56013333,104.711828,249.6878488,0.377392308,2.961523494,26.49166667,79.6,14386.90476,89.11111111,3670.166667,13398.78788,5409.94382,30446.5,77417.5,373019,9624.5,9021.5,4153
1968,15.26829014,33.49250437,107.116521,266.8826454,0.372807487,2.890374332,26.94166667,62.2,12952.95238,93.11111111,3286.777778,13450.90909,5873.23221,31437.25,100141.0,423459,11333.0,11675.0,2892
1969,16.55596188,33.52652735,105.1486604,255.190341,0.367948042,2.316281427,28.4,68.2,13526.57143,86.55555556,2171.722222,13279.78788,5970.962547,30368.0,75084.0,550880,10899.0,12263.0,1975
1971,12.29,32.878,105.05,279.102,0.445,3.5,34.49166667,80.0,9611.764706,58.57142857,910.7714286,9817.647059,4761.467662,35600.0,133100.0,729900,9450.0,6400.0,2800
1972,16.07191651,33.54240615,103.4000339,254.3195463,0.364870297,3.073514753,37.58333333,60.0,10150.0,51.07142857,1069.857143,9112.745098,4555.351759,37175.0,189000.0,502200,6350.0,5800.0,4800
1973,21.83375,35.304,110.6,219.6127,1.14,15.0,43.15833333,60.0,9711.764706,186.5714286,817.6857143,9309.803922,4663.032581,34975.0,184600.0,487100,3250.0,5200.0,3800
1974,19.63413043,34.46408696,91.70217391,211.8022043,0.377392308,2.961523494,49.73333333,71.8,10046.55882,287.0,944.2285714,9943.607843,4689.94,39226.75,159881.0,587717,3185.0,4203.5,4542
