year,month,Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1
1949,03,35.5,1058.8428571428572,0.0,13.853571428571428,33.39528571428571,,24.96121428571428,,,,3.0,1.3285714285714285,,2.0,8.0,9.0,9.0,8.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,13.853571428571428,13.877536231884056,33.39528571428571,24.954782608695655,298.6594202898551,0.0,,,,,,,,,,0.0,,,,,,,
1949,04,118.5,3598.1041666666665,0.0,13.344895833333332,33.35681318681319,5.748958333333334,25.02112087912089,96.57582417582421,250.34850989010997,,3.0,1.65625,,2.0,8.5,9.0,,8.5,8.5,,9.0,,9.0,0.46411764705882347,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,13.344895833333332,13.295930232558137,33.35681318681319,24.99872093023256,294.48372093023266,0.0,5.748958333333334,96.47674418604653,,0.46411764705882347,,,,,,0.0,,,,,,,
1949,05,221.5,6682.745454545455,0.0,14.035909090909087,33.24863636363636,5.6181818181818155,24.796981818181813,95.59727272727272,244.83519818181819,,3.0,1.8909090909090909,8.0,2.0,,9.0,8.0,8.0,8.0,,9.0,,9.0,0.5440789473684212,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,14.035909090909087,14.025045871559628,33.24863636363636,24.793211009174307,314.0137614678898,0.0,5.6181818181818155,96.32056074766355,,0.5440789473684212,,,,,,0.0,,,,,,,
1949,06,316.5,9535.9875,0.0,16.313875000000003,33.44746835443037,5.052948717948716,24.454734177215194,90.48846153846155,220.2777038461538,,3.0,1.8375,8.0,2.0,9.0,9.0,8.333333333333334,8.2,8.2,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,16.313875000000003,16.47106666666667,33.44746835443037,24.43746666666667,347.9199999999999,0.0,5.052948717948716,91.46571428571433,,,,,,,,0.0,,,,,,,
1949,07,409.0,12328.009523809524,0.0,16.632307692307684,33.20174757281552,5.377032967032969,24.20797058823529,96.83033707865168,234.28464606741585,,3.0,1.5480769230769231,8.5,2.0,8.666666666666666,9.0,8.823529411764707,8.6,8.8,,9.0,,9.0,0.5680555555555556,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,16.632307692307684,16.64439999999999,33.20174757281552,24.201699999999995,370.3969999999999,0.0,5.377032967032969,97.7129411764706,,0.5680555555555556,,,,,,0.0,,,,,,,
1949,08,520.0,15749.017094017094,0.0,18.043504273504276,33.216551724137936,5.51905982905983,23.863448275862055,101.66465517241376,240.4045301724139,,3.0,1.4102564102564104,,2.0,9.0,9.0,8.0,9.0,8.5,,9.0,,9.0,0.5745299145299144,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,18.043504273504276,18.086120689655175,33.216551724137936,23.85870689655172,403.08275862068973,0.0,5.51905982905983,101.9469565217391,,0.5745299145299144,,,,,,0.0,,,,,,,
1949,09,635.0,19338.62831858407,0.0,19.16159292035399,33.23654867256638,5.382666666666665,23.614752212389373,101.21619047619048,234.84314380952384,,3.0,1.2300884955752212,8.0,2.0,,9.0,8.88888888888889,8.0,8.8,,9.0,,9.0,0.4919,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,19.16159292035399,19.15946428571429,33.23654867256638,23.60758928571429,427.0401785714287,0.0,5.382666666666665,101.43689320388351,,0.4919,,,,,,0.0,,,,,,,
1949,10,745.5,22896.962962962964,0.0,17.43824074074073,33.30807692307692,5.401759259259258,24.08138461538461,98.33749999999999,235.49394038461543,,3.0,1.0277777777777777,,2.0,9.0,9.0,8.0,9.0,8.8,,9.0,,9.0,0.5306557377049183,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,17.43824074074073,17.44442307692307,33.30807692307692,24.076923076923073,382.3067307692309,0.0,5.401759259259258,98.52038834951455,,0.5306557377049183,,,,,,0.0,,,,,,,
1949,11,855.5,26346.410714285714,0.0,16.625267857142855,33.24870000000001,5.482844036697249,24.20895000000001,98.36288659793811,238.54990206185562,,3.0,1.7767857142857142,,2.0,8.923076923076923,9.0,9.0,8.923076923076923,8.9375,,9.0,,9.0,0.4851428571428572,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,16.625267857142855,16.695959595959593,33.24870000000001,24.205353535353524,370.0575757575758,0.0,5.482844036697249,98.34166666666664,,0.4851428571428572,,,,,,0.0,,,,,,,
1950,01,928.0,28613.121212121212,0.0,12.945757575757577,33.244242424242415,5.478125,25.035606060606064,91.35624999999999,238.67880625000004,,3.0,2.0,,2.0,,9.0,8.5,,8.5,,9.0,,9.0,0.6110000000000002,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,0.0,12.945757575757577,12.945757575757577,33.244242424242415,25.030606060606054,291.40000000000003,0.0,5.478125,91.8516129032258,,0.6110000000000002,,,,,,0.0,,,,,,,
