year,month,Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,year_month
1950,10,1937.0,59484.0,1.0,19.54,33.17,4.955,23.4865,94.1,216.2122,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.54,19.54,33.17,23.485,439.05,0.004,4.955,94.1,,,,,,,,1.0,,,,,,,,1950/10
1951,01,2340.0,70007.0,1.0,14.22,,5.3,,,,,3.0,2.0,,,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,14.22,,,,,,5.3,,,,,,,,,1.0,,,,,,,,1951/01
1951,06,2960.0,88977.0,1.0,,,5.86,,,,,3.0,,9.0,,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,,,,,,,5.86,,,,,,,,,1.0,,,,,,,,1951/06
1952,10,4971.0,134630.0,1.0,19.33,33.49,,23.785,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.33,19.33,33.49,23.78,410.6,0.004,,,,,,,,,,1.0,,,,,,,,1952/10
1954,02,6645.5,171796.0,1.0,15.1,33.5,,24.549,,,,3.0,1.5,,2.0,9.0,9.0,9.0,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.1,15.1,33.5,24.54,337.7,0.003,,,,,,,,,,1.0,,,,,,,,1954/02
1954,03,6733.5,174148.0,1.0,20.75,33.82,5.015000000000001,24.394,105.3,248.5001,,3.0,2.0,,2.0,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,20.75,20.75,33.82,24.39,352.5,0.004,5.015000000000001,97.25,,,,,,,,1.0,,,,,,,,1954/03
1954,08,7047.0,182536.0,1.0,19.8,33.36,,23.565,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.8,19.8,33.36,23.56,431.6,0.004,,,,,,,,,,1.0,,,,,,,,1954/08
1954,11,7169.0,185610.0,1.0,18.45,33.46,5.54,23.983,103.2,241.6216,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.45,18.45,33.46,23.98,391.7,0.004,5.54,103.2,,,,,,,,1.0,,,,,,,,1954/11
1955,02,7305.0,188784.0,1.0,12.81,33.43,,25.215,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,12.81,12.81,33.43,25.21,274.3,0.003,,,,,,,,,,1.0,,,,,,,,1955/02
1955,04,7393.0,190979.0,1.0,15.5,33.45,5.7,24.668,100.3,248.4336,,3.0,1.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.5,15.5,33.45,24.66,326.4,0.003,5.7,100.3,,,,,,,,1.0,,,,,,,,1955/04
