year,month,Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,year_month,Series ID_x,CPI,Series ID_y,PPI
1950.0,10.0,1937.0,59484.0,1.0,19.54,33.17,4.955,23.4865,94.1,216.2122,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.54,19.54,33.17,23.485,439.05,0.004,4.955,94.1,,,,,,,,1.0,,,,,,,,1950/10,CUUR0000SEFG,20.6,,
1951.0,1.0,2340.0,70007.0,1.0,14.22,,5.3,,,,,3.0,2.0,,,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,14.22,,,,,,5.3,,,,,,,,,1.0,,,,,,,,1951/01,CUUR0000SEFG,21.7,,
1951.0,6.0,2960.0,88977.0,1.0,,,5.86,,,,,3.0,,9.0,,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,,,,,,,5.86,,,,,,,,,1.0,,,,,,,,1951/06,CUUR0000SEFG,22.4,,
1952.0,10.0,4971.0,134630.0,1.0,19.33,33.49,,23.785,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.33,19.33,33.49,23.78,410.6,0.004,,,,,,,,,,1.0,,,,,,,,1952/10,CUUR0000SEFG,21.2,,
1954.0,2.0,6645.5,171796.0,1.0,15.1,33.5,,24.549,,,,3.0,1.5,,2.0,9.0,9.0,9.0,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.1,15.1,33.5,24.54,337.7,0.003,,,,,,,,,,1.0,,,,,,,,1954/02,CUUR0000SEFG,20.8,,
1954.0,3.0,6733.5,174148.0,1.0,20.75,33.82,5.015000000000001,24.394,105.3,248.5001,,3.0,2.0,,2.0,9.0,9.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,20.75,20.75,33.82,24.39,352.5,0.004,5.015000000000001,97.25,,,,,,,,1.0,,,,,,,,1954/03,CUUR0000SEFG,20.9,,
1954.0,8.0,7047.0,182536.0,1.0,19.8,33.36,,23.565,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,19.8,19.8,33.36,23.56,431.6,0.004,,,,,,,,,,1.0,,,,,,,,1954/08,CUUR0000SEFG,20.9,,
1954.0,11.0,7169.0,185610.0,1.0,18.45,33.46,5.54,23.983,103.2,241.6216,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.45,18.45,33.46,23.98,391.7,0.004,5.54,103.2,,,,,,,,1.0,,,,,,,,1954/11,CUUR0000SEFG,20.6,,
1955.0,2.0,7305.0,188784.0,1.0,12.81,33.43,,25.215,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,12.81,12.81,33.43,25.21,274.3,0.003,,,,,,,,,,1.0,,,,,,,,1955/02,CUUR0000SEFG,20.5,,
1955.0,4.0,7393.0,190979.0,1.0,15.5,33.45,5.7,24.668,100.3,248.4336,,3.0,1.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,15.5,15.5,33.45,24.66,326.4,0.003,5.7,100.3,,,,,,,,1.0,,,,,,,,1955/04,CUUR0000SEFG,20.4,,
1955.0,8.0,7678.127659574468,200072.78723404257,1.0,18.94181818181818,33.89,5.444888888888888,24.16015909090909,102.44761904761909,236.9156928571429,,3.0,1.9772727272727275,8.075,2.0,8.0,9.0,8.048780487804878,8.068181818181818,8.113636363636363,,9.0,,9.0,0.4,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,18.94181818181818,18.49142857142857,33.89,24.106666666666666,379.7,0.0037659574468085,5.444888888888888,103.95,,0.4,,,,,,1.0,,,,,,,,1955/08,CUUR0000SEFG,20.3,,
1955.0,9.0,7795.8,204002.53333333333,1.0,23.734615384615385,34.27066666666666,5.035333333333333,23.224230769230765,102.48461538461538,217.05413076923077,,3.0,2.0,8.142857142857142,2.0,8.0,9.0,8.0,8.142857142857142,8.142857142857142,,9.0,,9.0,0.5777777777777778,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,1.0,23.734615384615385,22.58,34.27066666666666,23.84,405.1,0.0045333333333333,5.035333333333333,101.3,,0.5777777777777778,,,,,,1.0,,,,,,,,1955/09,CUUR0000SEFG,20.3,,
